timestamp,file_path,method_name,new_method_name,attempt,call_type,prompt_tokens,completion_tokens,total_tokens,latency_ms,success
2026-05-07T19:39:03,in/test/TestClass16949.java.jsonl,func_1,testGetResource,1,rename,448,29,477,48183.8,True
2026-05-07T19:42:21,in/test/TestClass28581.java.jsonl,func_1,that_has_sibling,1,rename,594,45,639,4258.2,True
2026-05-07T19:44:14,in/test/TestClass8579.java.jsonl,func_1,testGetResourceMethods,1,rename,452,20,472,1948.5,True
2026-05-07T19:46:06,in/test/TestClass53059.java.jsonl,func_1,testPrintWithColors,1,rename,557,57,614,5423.0,True
2026-05-07T19:48:03,in/test/TestClass25330.java.jsonl,func_1,testExecute,1,rename,686,62,748,6253.4,True
2026-05-07T19:50:26,in/test/TestClass60166.java.jsonl,func_1,isEntryWithinCategory_shouldReturnFalseIfEntryIsNotInCatalogEntryList,1,rename,474,64,538,6567.2,True
2026-05-07T19:52:17,in/test/TestClass66923.java.jsonl,func_1,initWithInvalidRegistry,1,rename,510,52,562,4817.6,True
2026-05-07T19:54:11,in/test/TestClass51404.java.jsonl,func_1,optimizeProject,1,rename,569,43,612,4226.3,True
2026-05-07T19:56:10,in/test/TestClass12231.java.jsonl,func_1,testGetConstructs,1,rename,828,137,965,12798.6,True
2026-05-07T19:58:10,in/test/TestClass9438.java.jsonl,func_1,dispatchEvent,1,rename,505,46,551,4507.9,True
2026-05-07T20:00:06,in/test/TestClass21857.java.jsonl,func_1,testDoFilterWithInvalidSession,1,rename,642,45,687,4077.5,True
2026-05-07T20:02:07,in/test/TestClass33605.java.jsonl,func_1,foldDoubleStreamByRow,1,rename,526,33,559,3123.1,True
2026-05-07T20:04:07,in/test/TestClass62322.java.jsonl,func_1,shouldAddPaginationToNodeIfEnabled,1,rename,602,65,667,6350.9,True
2026-05-07T20:05:59,in/test/TestClass27706.java.jsonl,func_1,testGetRangeFromString,1,rename,537,50,587,4748.9,True
2026-05-07T20:07:49,in/test/TestClass40865.java.jsonl,func_1,testGetRequestName,1,rename,441,20,461,2213.6,True
2026-05-07T20:09:38,in/test/TestClass64049.java.jsonl,func_1,testGetAttributeValue,1,rename,446,29,475,3855.4,True
2026-05-07T20:11:28,in/test/TestClass63895.java.jsonl,func_1,shouldResolveSecurityDocument,1,rename,487,39,526,3660.1,True
2026-05-07T20:13:44,in/test/TestClass22056.java.jsonl,func_1,getSubjectMatterExpert,1,rename,625,74,699,6816.2,True
2026-05-07T20:15:39,in/test/TestClass9406.java.jsonl,func_1,remove,1,rename,487,25,512,2467.8,True
2026-05-07T20:17:28,in/test/TestClass14014.java.jsonl,func_1,testConcurrentDownload,1,rename,487,39,526,3358.9,True
2026-05-07T20:19:19,in/test/TestClass5270.java.jsonl,func_1,transaction,1,rename,442,34,476,3064.8,True
2026-05-07T20:21:22,in/test/TestClass5792.java.jsonl,func_1,getPageData,1,rename,520,42,562,3609.3,True
2026-05-07T20:23:18,in/test/TestClass16654.java.jsonl,func_1,isIdleModeShouldReturnFalseWhenDeviceIsNotIdle,1,rename,436,45,481,4213.7,True
2026-05-07T20:25:16,in/test/TestClass51167.java.jsonl,func_1,shouldGetTableElementString,1,rename,507,49,556,4226.0,True
2026-05-07T20:27:15,in/test/TestClass42289.java.jsonl,func_1,testGetJobProjectId,1,rename,448,35,483,3412.1,True
2026-05-07T20:29:18,in/test/TestClass31682.java.jsonl,func_1,positionHydrogenLabelBelow,1,rename,501,53,554,5400.0,True
2026-05-07T20:31:20,in/test/TestClass57157.java.jsonl,func_1,testParsePartially,1,rename,684,31,715,3045.4,True
2026-05-07T20:33:27,in/test/TestClass21318.java.jsonl,func_1,testGetS3StorageUnitsToExpire,1,rename,623,73,696,7927.5,True
2026-05-07T20:35:39,in/test/TestClass66179.java.jsonl,func_1,testQueryWithIn,1,rename,684,89,773,9426.3,True
2026-05-07T20:37:48,in/test/TestClass67391.java.jsonl,func_1,generateRandomWithNegativeLength,1,rename,437,41,478,3924.5,True
2026-05-07T20:39:58,in/test/TestClass11487.java.jsonl,func_1,shouldHandleUnknownEnumValue,1,rename,560,33,593,3613.8,True
2026-05-07T20:42:07,in/test/TestClass28322.java.jsonl,func_1,testParseAndSetArguments,1,rename,522,55,577,6176.2,True
2026-05-07T20:44:07,in/test/TestClass35914.java.jsonl,func_1,fusion,1,rename,469,33,502,3809.4,True
2026-05-07T20:46:18,in/test/TestClass66854.java.jsonl,func_1,testMean,1,rename,574,60,634,7994.7,True
2026-05-07T20:48:33,in/test/TestClass25669.java.jsonl,func_1,getVariants,1,rename,515,54,569,5060.5,True
2026-05-07T20:50:46,in/test/TestClass62976.java.jsonl,func_1,testReadValue,1,rename,531,38,569,3593.3,True
2026-05-07T20:52:50,in/test/TestClass23035.java.jsonl,func_1,testSome,1,rename,609,46,655,5116.8,True
2026-05-07T20:55:07,in/test/TestClass34775.java.jsonl,func_1,testCheck,1,rename,570,69,639,7313.1,True
2026-05-07T20:57:19,in/test/TestClass53251.java.jsonl,func_1,renderTemplateFileWithPropertiesMap,1,rename,574,53,627,5964.4,True
2026-05-07T20:59:29,in/test/TestClass683.java.jsonl,func_1,testSetOnTimeCompletionListenerWhenNotPaused,1,rename,453,42,495,4607.2,True
2026-05-07T21:01:34,in/test/TestClass66882.java.jsonl,func_1,getMean,1,rename,459,27,486,2677.5,True
2026-05-07T21:03:48,in/test/TestClass9034.java.jsonl,func_1,testCreateValueWithMultipleValues,1,rename,498,43,541,4788.5,True
2026-05-07T21:05:54,in/test/TestClass26086.java.jsonl,func_1,ofMaterial,1,rename,452,35,487,3248.6,True
2026-05-07T21:08:17,in/test/TestClass37706.java.jsonl,func_1,loadRowStructure_withQuestionMark,1,rename,474,45,519,4516.7,True
2026-05-07T21:10:27,in/test/TestClass71157.java.jsonl,func_1,takeUnless,1,rename,474,35,509,3224.8,True
2026-05-07T21:12:41,in/test/TestClass63221.java.jsonl,func_1,parse,1,rename,430,17,447,1692.1,True
