timestamp,file_path,method_name,new_method_name,attempt,call_type,prompt_tokens,completion_tokens,total_tokens,latency_ms,success
2026-05-24T09:02:20,in/test/TestClass34889.java.jsonl,func_1,testSubscriptionEmitsCorrectSequence,1,rename,733,70,803,2967.7,True
2026-05-24T09:07:10,in/test/TestClass33790.java.jsonl,func_1,testDeleteExpiredFilesByTimeRemovesOldFiles,1,rename,722,61,783,1294.1,True
2026-05-24T09:09:59,in/test/TestClass75184.java.jsonl,func_1,testJsonArrayProperties,1,rename,520,30,550,976.4,True
2026-05-24T09:12:41,in/test/TestClass1404.java.jsonl,func_1,testSearchReturnsEmptyModulesAndArtifacts,1,rename,559,40,599,2257.9,True
2026-05-24T09:15:35,in/test/TestClass53206.java.jsonl,func_1,testCreateComponentFromReleaseSetsCorrectProperties,1,rename,532,40,572,850.4,True
2026-05-24T09:18:17,in/test/TestClass41560.java.jsonl,func_1,testShouldThrowSonarProjectNotFoundExceptionWhenResourceNotFound,1,rename,460,31,491,1092.7,True
2026-05-24T09:21:23,in/test/TestClass10826.java.jsonl,func_1,testSelectBooleanOptionsAlwaysTrue,1,rename,617,47,664,715.8,True
2026-05-24T09:25:01,in/test/TestClass61563.java.jsonl,func_1,testRouteFiltersAvailableInvokers,1,rename,739,77,816,1051.2,True
2026-05-24T09:28:34,in/test/TestClass18539.java.jsonl,func_1,testDecodeblueReaderPacketReturnsNullWhenInputIsNull,1,rename,444,17,461,420.8,True
2026-05-24T09:32:01,in/test/TestClass69357.java.jsonl,func_1,testMaxTemperatureForSecondLocationInOporto,1,rename,527,51,578,1578.7,True
2026-05-24T09:35:36,in/test/TestClass62845.java.jsonl,func_1,testEncodeDataReturnsValidLocationReference,1,rename,487,24,511,1345.5,True
2026-05-24T09:39:16,in/test/TestClass14053.java.jsonl,func_1,testGetCartOfUserReturnsCorrectCartOrNull,1,rename,540,26,566,843.9,True
2026-05-24T09:42:45,in/test/TestClass46195.java.jsonl,func_1,testCreateSequenceHeaderReturnsCorrectHeader,1,rename,497,50,547,1893.1,True
2026-05-24T09:45:24,in/test/TestClass46322.java.jsonl,func_1,testCheckRequestCreatesNewSequenceWhenNoneExists,1,rename,638,46,684,982.3,True
2026-05-24T09:48:26,in/test/TestClass61839.java.jsonl,func_1,testQueryReturnsIntegerValueTypeDataElements,1,rename,523,32,555,518.3,True
2026-05-24T09:51:40,in/test/TestClass37093.java.jsonl,func_1,testShouldUpdateTransactionWithNewCategory,1,rename,523,36,559,588.9,True
2026-05-24T09:54:58,in/test/TestClass40807.java.jsonl,func_1,testStagemonitorInitializationAndHealthCheck,1,rename,535,24,559,1259.2,True
2026-05-24T09:58:26,in/test/TestClass75731.java.jsonl,func_1,testJsonValueCreatedFromNullIsNullAndNotString,1,rename,439,28,467,781.7,True
2026-05-24T10:01:45,in/test/TestClass66990.java.jsonl,func_1,testIsReadOnlyReturnsTrue,1,rename,449,22,471,939.1,True
2026-05-24T10:05:12,in/test/TestClass32356.java.jsonl,func_1,testHasCoordinatesReturnsCorrectly,1,rename,510,42,552,1526.6,True
2026-05-24T10:08:44,in/test/TestClass28172.java.jsonl,func_1,testEncodeDecodeArrayHandlesNullAndValidInput,1,rename,557,21,578,709.3,True
2026-05-24T10:11:58,in/test/TestClass22301.java.jsonl,func_1,testShouldReturnConfigurationEntryWhenKeyIsProvided,1,rename,545,51,596,944.3,True
2026-05-24T10:15:18,in/test/TestClass29734.java.jsonl,func_1,testGroupRequestReturnsExpectedNestedResults,1,rename,824,86,910,1267.1,True
2026-05-24T10:18:44,in/test/TestClass8235.java.jsonl,func_1,testByteArrayKeyAdapterToMapKey,1,rename,563,24,587,1237.5,True
2026-05-24T10:22:28,in/test/TestClass69842.java.jsonl,func_1,testDeviceMessageCleanupCreatesZipAndCsvFiles,1,rename,670,52,722,908.6,True
2026-05-24T10:25:55,in/test/TestClass41555.java.jsonl,func_1,testEqualsReturnsTrueForQualityMeasuresWithSameName,1,rename,457,37,494,666.6,True
2026-05-24T10:29:42,in/test/TestClass71651.java.jsonl,func_1,testFindByCreatedByThrowsRecordNotFoundException,1,rename,429,17,446,641.2,True
2026-05-24T10:33:29,in/test/TestClass27206.java.jsonl,func_1,testHandleReplicateMessageSendAppendEntriesToFollower,1,rename,786,58,844,796.6,True
2026-05-24T10:37:31,in/test/TestClass73044.java.jsonl,func_1,testBeanPropertyComparatorComparison,1,rename,598,76,674,19398.3,True
2026-05-24T10:41:08,in/test/TestClass30027.java.jsonl,func_1,testPostRequestSetsConnectionParametersCorrectly,1,rename,467,24,491,1449.7,True
2026-05-24T10:44:28,in/test/TestClass13270.java.jsonl,func_1,testGetApplicationDataDictionaryForMultipleVersions,1,rename,456,25,481,805.4,True
2026-05-24T10:47:51,in/test/TestClass40145.java.jsonl,func_1,testByteArrayReadAsStringWithDifferentCharsets,1,rename,552,25,577,592.2,True
2026-05-24T10:51:23,in/test/TestClass47446.java.jsonl,func_1,testAdaptExceptionInitialization,1,rename,444,20,464,631.8,True
2026-05-24T10:54:58,in/test/TestClass51164.java.jsonl,func_1,testNodeIndexIncrement,1,rename,469,20,489,4358.0,True
2026-05-24T10:58:49,in/test/TestClass65594.java.jsonl,func_1,testExecuteStatementsAndDropTables,1,rename,459,22,481,1034.2,True
2026-05-24T11:02:19,in/test/TestClass36753.java.jsonl,func_1,testYamlWriterReturnsExpectedWriter,1,rename,489,23,512,731.1,True
2026-05-24T11:05:57,in/test/TestClass9239.java.jsonl,func_1,testPluginManagerReturnsEmptyListWhenFilterExcludesAll,1,rename,476,27,503,1437.0,True
2026-05-24T11:09:34,in/test/TestClass42353.java.jsonl,func_1,testCreateReadSessionReturnsExpectedSplits,1,rename,775,53,828,1128.9,True
2026-05-24T11:13:35,in/test/TestClass72159.java.jsonl,func_1,testUpdateCommitThrowsWhenAdditionsNotSet,1,rename,498,32,530,1430.6,True
2026-05-24T11:16:27,in/test/TestClass15201.java.jsonl,func_1,testCookiePathComparatorOrdersByPathSpecificity,1,rename,524,43,567,1536.6,True
2026-05-24T11:19:12,in/test/TestClass31888.java.jsonl,func_1,testFingerprintContainsExpectedAtoms,1,rename,561,48,609,910.2,True
2026-05-24T11:22:05,in/test/TestClass24619.java.jsonl,func_1,testEscapeAddsBackslashBeforeQuote,1,rename,433,24,457,874.3,True
2026-05-24T11:24:50,in/test/TestClass32918.java.jsonl,func_1,testFindBugsValidatorValidatesEnvironment,1,rename,506,23,529,549.5,True
2026-05-24T11:27:28,in/test/TestClass33576.java.jsonl,func_1,testSeriesTruncatorCreatesCorrectTruncation,1,rename,489,36,525,941.8,True
2026-05-24T11:30:53,in/test/TestClass2032.java.jsonl,func_1,testEncodeDecodeBigInteger,1,rename,567,32,599,1010.3,True
