timestamp,file_path,method_name,new_method_name,attempt,call_type,prompt_tokens,completion_tokens,total_tokens,latency_ms,success
2026-05-18T16:36:25,in/test/TestClass34889.java.jsonl,func_1,testEmitsBeginningRepeatedThenFinallyAndCompletes,1,rename,732,1423,2155,15647.1,True
2026-05-18T16:40:18,in/test/TestClass33790.java.jsonl,func_1,testDeleteExpiredFilesByTimeRemovesOldFiles,1,rename,721,902,1623,10902.6,True
2026-05-18T16:43:27,in/test/TestClass75184.java.jsonl,func_1,testJsonArrayContainsThreeElements,1,rename,519,420,939,7749.8,True
2026-05-18T16:46:51,in/test/TestClass1404.java.jsonl,func_1,testSearchReturnsNullModulesAndArtifactsJson,1,rename,558,500,1058,9567.5,True
2026-05-18T16:50:13,in/test/TestClass53206.java.jsonl,func_1,testCreateComponentFromReleaseSetsInternalTypeNameAndHomepage,1,rename,531,432,963,9235.1,True
2026-05-18T16:53:24,in/test/TestClass41560.java.jsonl,func_1,testShouldThrowSonarProjectNotFoundWhenResourceNotFound,1,rename,459,420,879,8837.2,True
2026-05-18T16:56:38,in/test/TestClass10826.java.jsonl,func_1,testSelectBooleanOptionsAlwaysTrueWhenTrueHasHigherWeight,1,rename,616,573,1189,9089.8,True
2026-05-18T16:59:50,in/test/TestClass61563.java.jsonl,func_1,testScriptRouterReturnsOnlyAvailableInvokers,1,rename,738,790,1528,10853.0,True
2026-05-18T17:02:48,in/test/TestClass18539.java.jsonl,func_1,testDecodeBlueReaderPacketReturnsNullAndLogsErrorForNullBuffer,1,rename,443,348,791,8290.4,True
2026-05-18T17:05:47,in/test/TestClass69357.java.jsonl,func_1,testMaxTemperatureFromPast30DaysForOporto,1,rename,526,575,1101,11446.4,True
2026-05-18T17:09:08,in/test/TestClass62845.java.jsonl,func_1,testEncodeWaypointLocationReferenceProducesValidBinaryV3,1,rename,486,417,903,12216.9,True
2026-05-18T17:12:27,in/test/TestClass14053.java.jsonl,func_1,testGetCartOfUserReturnsExpectedCartsAndNullForMissingUser,1,rename,539,484,1023,7807.7,True
2026-05-18T17:15:23,in/test/TestClass46195.java.jsonl,func_1,testCreateSequenceHeaderConcatenatesKeysWithSeparator,1,rename,496,499,995,8295.9,True
2026-05-18T17:18:34,in/test/TestClass46322.java.jsonl,func_1,testCreatesAndAttachesNewSequenceWhenNoExistingSequence,1,rename,637,434,1071,10530.5,True
2026-05-18T17:21:49,in/test/TestClass61839.java.jsonl,func_1,testShouldReturnDataElementsWithIntegerValueType,1,rename,522,616,1138,8946.4,True
2026-05-18T17:25:17,in/test/TestClass37093.java.jsonl,func_1,testUpdatesTransactionCategoryWhenPutCategoryCalled,1,rename,522,621,1143,8669.3,True
2026-05-18T17:28:54,in/test/TestClass40807.java.jsonl,func_1,testStartsWithProvidedMeasurementSessionAndReportsHealthChecks,1,rename,534,481,1015,7001.4,True
2026-05-18T17:33:15,in/test/TestClass75731.java.jsonl,func_1,testShouldBeNullWhenCreatedFromNull,1,rename,438,478,916,6983.8,True
2026-05-18T17:37:20,in/test/TestClass66990.java.jsonl,func_1,testResolverIsReadOnlyWhenBaseAndPropertyAreNull,1,rename,448,545,993,8439.8,True
2026-05-18T17:40:37,in/test/TestClass32356.java.jsonl,func_1,testHasCoordinatesReturnsTrueForAtomWithPointAndFalseForNulls,1,rename,509,565,1074,7128.8,True
2026-05-18T17:44:07,in/test/TestClass28172.java.jsonl,func_1,testEncodeDecodeArrayPreservesElementsAndNulls,1,rename,556,479,1035,6188.1,True
2026-05-18T17:47:24,in/test/TestClass22301.java.jsonl,func_1,testGetConfigurationEntryReturnsExpectedEntry,1,rename,544,445,989,8470.0,True
2026-05-18T17:51:05,in/test/TestClass29734.java.jsonl,func_1,testShouldReturnGroupedCountsForOsDeviceVersionAsync,1,rename,823,736,1559,10399.7,True
2026-05-18T17:54:41,in/test/TestClass8235.java.jsonl,func_1,testToMapKeyUsesArrayContentEquality,1,rename,562,478,1040,8766.9,True
2026-05-18T17:57:51,in/test/TestClass69842.java.jsonl,func_1,testDeviceMessageCleanupCreatesZipAndCsvFiles,1,rename,669,766,1435,11881.7,True
2026-05-18T18:00:58,in/test/TestClass41555.java.jsonl,func_1,testQualityMeasureEqualsWhenNamesAreEqual,1,rename,456,485,941,9030.4,True
2026-05-18T18:03:55,in/test/TestClass71651.java.jsonl,func_1,testFindByCreatedByThrowsRecordNotFoundForInvalidUser,1,rename,428,283,711,3832.0,True
