timestamp,file_path,method_name,new_method_name,attempt,call_type,prompt_tokens,completion_tokens,total_tokens,latency_ms,success
2026-05-18T14:24:09,in/test/TestClass34889.java.jsonl,func_1,testEmitsBeginningRepeatedlyThenFinallyCompletes,1,rename,732,911,1643,13697.0,True
2026-05-18T14:25:30,in/test/TestClass33790.java.jsonl,func_1,testDeleteExpiredFilesByTimeRemovesOldFiles,1,rename,721,711,1432,9414.7,True
2026-05-18T14:26:43,in/test/TestClass75184.java.jsonl,func_1,testJsonArrayFromKnownStringHasThreeElementsAndContainsValues,1,rename,519,490,1009,8373.0,True
2026-05-18T14:27:50,in/test/TestClass1404.java.jsonl,func_1,testSearchResourceReturnsNullModulesAndArtifacts,1,rename,558,819,1377,11666.2,True
2026-05-18T14:29:01,in/test/TestClass53206.java.jsonl,func_1,testCreateComponentFromReleaseMapsNameTypeAndHomepage,1,rename,531,622,1153,8195.8,True
2026-05-18T14:30:22,in/test/TestClass41560.java.jsonl,func_1,testFindProjectThrowsSonarProjectNotFoundWhenResourceNotFound,1,rename,459,357,816,9268.3,True
2026-05-18T14:31:33,in/test/TestClass10826.java.jsonl,func_1,testSelectsTrueWhenTrueOptionHasDominantWeight,1,rename,616,702,1318,8088.3,True
2026-05-18T14:32:54,in/test/TestClass61563.java.jsonl,func_1,testScriptRouterReturnsOnlyAvailableInvokers,1,rename,738,917,1655,9197.3,True
2026-05-18T14:34:11,in/test/TestClass18539.java.jsonl,func_1,testDecodeBlueReaderPacketReturnsNullWhenBufferIsNull,1,rename,443,218,661,5539.7,True
2026-05-18T14:35:16,in/test/TestClass69357.java.jsonl,func_1,testMaxPast30DaysTemperatureForOportoIs22,1,rename,526,833,1359,9128.8,True
2026-05-18T14:36:24,in/test/TestClass62845.java.jsonl,func_1,testEncodeWaypointLocationReferenceProducesValidBinaryV3,1,rename,486,545,1031,6336.5,True
2026-05-18T14:37:33,in/test/TestClass14053.java.jsonl,func_1,testGetCartOfUserReturnsExpectedCartOrNull,1,rename,539,608,1147,10333.8,True
2026-05-18T14:38:35,in/test/TestClass46195.java.jsonl,func_1,testCreateSequenceHeaderConcatenatesKeysWithSeparator,1,rename,496,373,869,5571.8,True
2026-05-18T14:39:38,in/test/TestClass46322.java.jsonl,func_1,testCreatesAndAttachesNewSequenceWhenNoExistingSequence,1,rename,637,690,1327,11546.9,True
2026-05-18T14:40:47,in/test/TestClass61839.java.jsonl,func_1,testReturnsTwoDataElementsWithIntegerValueType,1,rename,522,680,1202,8201.3,True
2026-05-18T14:42:13,in/test/TestClass37093.java.jsonl,func_1,testPutCategoryUpdatesTransactionCategory,1,rename,522,811,1333,15719.6,True
2026-05-18T14:43:46,in/test/TestClass40807.java.jsonl,func_1,testUsesProvidedMeasurementSessionAndRunsHealthChecks,1,rename,534,544,1078,9928.4,True
2026-05-18T14:45:16,in/test/TestClass75731.java.jsonl,func_1,testIsNullForValueCreatedFromNull,1,rename,438,351,789,6537.1,True
2026-05-18T14:46:27,in/test/TestClass66990.java.jsonl,func_1,testIsReadOnlyReturnsTrueForNullProperty,1,rename,448,351,799,8339.9,True
2026-05-18T14:47:33,in/test/TestClass32356.java.jsonl,func_1,testHasCoordinatesWithPointAndNullCases,1,rename,509,366,875,5811.9,True
2026-05-18T14:48:41,in/test/TestClass28172.java.jsonl,func_1,testEncodeDecodeArrayHandlesNullsAndCommas,1,rename,556,479,1035,7869.5,True
2026-05-18T14:50:33,in/test/TestClass22301.java.jsonl,func_1,testGetConfigurationEntryReturnsExpectedEntry,1,rename,544,634,1178,11507.1,True
2026-05-18T14:51:52,in/test/TestClass29734.java.jsonl,func_1,testShouldReturnNestedGroupCountsByOsDeviceAndVersion,1,rename,823,868,1691,14929.5,True
2026-05-18T14:53:01,in/test/TestClass8235.java.jsonl,func_1,testToMapKeyTreatsEqualByteArraysAsEqualAndDifferentAsNotEqual,1,rename,562,422,984,6579.1,True
2026-05-18T14:54:14,in/test/TestClass69842.java.jsonl,func_1,testGeneratesZipThenCsvWithTwoLines,1,rename,669,768,1437,12028.6,True
2026-05-18T14:55:33,in/test/TestClass41555.java.jsonl,func_1,testShouldBeEqualWhenNamesMatch,1,rename,456,548,1004,11609.9,True
2026-05-18T14:56:41,in/test/TestClass71651.java.jsonl,func_1,testShouldThrowRecordNotFoundWhenCreatedByIsInvalid,1,rename,428,410,838,8611.0,True
2026-05-18T14:57:51,in/test/TestClass27206.java.jsonl,func_1,testHandleReplicateSendsAppendEntriesToActiveFollowerAfterAck,1,rename,785,766,1551,9853.2,True
2026-05-18T14:59:04,in/test/TestClass73044.java.jsonl,func_1,testShouldOrderByStringProperty,1,rename,597,844,1441,14298.1,True
2026-05-18T15:00:18,in/test/TestClass30027.java.jsonl,func_1,testPostRequestSetsRequestMethodAndEnablesOutput,1,rename,466,480,946,10226.8,True
2026-05-18T15:01:26,in/test/TestClass13270.java.jsonl,func_1,testLoadApplicationDataDictionariesForMultipleVersions,1,rename,455,416,871,6752.4,True
2026-05-18T15:02:35,in/test/TestClass40145.java.jsonl,func_1,testReadAsStringReturnsLength200AndPreservesPrefixForEBCDICAndASCII,1,rename,551,487,1038,7439.8,True
2026-05-18T15:03:43,in/test/TestClass47446.java.jsonl,func_1,testAdaptExceptionFromAndToAreNotNull,1,rename,443,351,794,6483.1,True
2026-05-18T15:04:49,in/test/TestClass51164.java.jsonl,func_1,testAltimaIndexAndAddedNodeHasIndexTwo,1,rename,468,480,948,8477.0,True
2026-05-18T15:05:52,in/test/TestClass65594.java.jsonl,func_1,testExecuteStatementsFromDirectoryAndDropTables,1,rename,458,350,808,7066.2,True
2026-05-18T15:06:50,in/test/TestClass36753.java.jsonl,func_1,testYamlWriterCreatesPluginYmlResource,1,rename,488,352,840,7441.6,True
2026-05-18T15:07:56,in/test/TestClass9239.java.jsonl,func_1,testHasNoPluginsWhenFilterRejectsAll,1,rename,475,479,954,8387.8,True
2026-05-18T15:09:03,in/test/TestClass42353.java.jsonl,func_1,testGetSplitsCreatesReadSessionAndReturnsExpectedSplits,1,rename,774,836,1610,13503.2,True
2026-05-18T15:10:10,in/test/TestClass72159.java.jsonl,func_1,testUpdateCommitThrowsWhenAdditionsNotSet,1,rename,497,424,921,8354.4,True
2026-05-18T15:11:14,in/test/TestClass15201.java.jsonl,func_1,testCookiePathComparatorOrdersMoreSpecificPathBeforeLessSpecific,1,rename,523,564,1087,9629.8,True
2026-05-18T15:12:17,in/test/TestClass31888.java.jsonl,func_1,testGetRawFingerprintContainsExpectedAtoms,1,rename,560,761,1321,10821.3,True
2026-05-18T15:13:23,in/test/TestClass24619.java.jsonl,func_1,testShouldEscapeDoubleQuotes,1,rename,432,540,972,11676.9,True
2026-05-18T15:14:25,in/test/TestClass32918.java.jsonl,func_1,testValidateGeneratedClassWithSleep,1,rename,505,347,852,7615.7,True
2026-05-18T15:15:29,in/test/TestClass33576.java.jsonl,func_1,testSeriesTruncatorCreatesTruncatedSeriesWithEqualHeadAndTail,1,rename,488,557,1045,11081.5,True
2026-05-18T15:16:32,in/test/TestClass2032.java.jsonl,func_1,testEncodeDecodePreservesBigInteger,1,rename,566,549,1115,12334.9,True
2026-05-18T15:17:38,in/test/TestClass54038.java.jsonl,func_1,testGenerateJsonSchemaForPersonClasses,1,rename,504,550,1054,9948.7,True
2026-05-18T15:18:41,in/test/TestClass48751.java.jsonl,func_1,testJoinIncludesEmptyStrings,1,rename,454,481,935,9767.3,True
2026-05-18T15:19:48,in/test/TestClass4815.java.jsonl,func_1,testEciesP256HkdfHmacSha256Aes128GcmTemplateHasExpectedParameters,1,rename,734,699,1433,13873.9,True
2026-05-18T15:20:53,in/test/TestClass13159.java.jsonl,func_1,testShouldReturnHelloForPerson,1,rename,449,411,860,8038.0,True
2026-05-18T15:22:00,in/test/TestClass30767.java.jsonl,func_1,testToBeamEdgeThrowsWhenBondOrderIsUnset,1,rename,542,633,1175,10962.0,True
2026-05-18T15:23:12,in/test/TestClass9409.java.jsonl,func_1,testClearsPreviousViewModelWhenRequestingDifferentClassWithSameKey,1,rename,504,437,941,14925.8,True
2026-05-18T15:24:16,in/test/TestClass39058.java.jsonl,func_1,testGetConnectionReturnsPrimaryWhenAvailable,1,rename,585,829,1414,13929.4,True
2026-05-18T15:25:17,in/test/TestClass11306.java.jsonl,func_1,testGetMaximumNegativeRealRootReturnsMaxNegativeRealRoot,1,rename,458,481,939,7993.6,True
2026-05-18T15:26:16,in/test/TestClass42038.java.jsonl,func_1,testParallelLoadFlowRunInvokesComputationManagerExecute,1,rename,457,481,938,6244.0,True
2026-05-18T15:27:20,in/test/TestClass18794.java.jsonl,func_1,testConvertsStringWithWhitespaceAndEscapesToUri,1,rename,438,609,1047,7924.0,True
2026-05-18T15:28:21,in/test/TestClass3285.java.jsonl,func_1,testNormalizationTrainerFitsAndAppliesNormalization,1,rename,706,829,1535,10624.6,True
2026-05-18T15:29:24,in/test/TestClass46973.java.jsonl,func_1,testShouldReturnTrueWhenJmsRequestLoggerProcessorIsEnabled,1,rename,463,482,945,8270.6,True
2026-05-18T15:30:29,in/test/TestClass55807.java.jsonl,func_1,testDeleteUserThenGetReturnsNull,1,rename,445,413,858,7516.0,True
2026-05-18T15:31:29,in/test/TestClass22631.java.jsonl,func_1,testPopulateMethodDeclarationsAddsAllMethodsToClass,1,rename,558,429,987,9027.7,True
2026-05-18T15:32:29,in/test/TestClass50694.java.jsonl,func_1,testCreateWorkspaceAndLogin,1,rename,497,419,916,5371.1,True
2026-05-18T15:33:34,in/test/TestClass25504.java.jsonl,func_1,testExecuteRefreshTokenReturnsAccessTokenFromCloudShell,1,rename,685,1126,1811,11894.8,True
2026-05-18T15:34:47,in/test/TestClass12100.java.jsonl,func_1,testGroupedInfluxDbHttpSenderInitializationAndEmptyWrite,1,rename,607,427,1034,7309.1,True
2026-05-18T15:35:51,in/test/TestClass13046.java.jsonl,func_1,testNoAuthExecutorAllowsAuthentication,1,rename,529,698,1227,7692.5,True
2026-05-18T15:36:53,in/test/TestClass55091.java.jsonl,func_1,testShouldSerializeAndDeserializeKey,1,rename,492,559,1051,7867.3,True
2026-05-18T15:37:55,in/test/TestClass70680.java.jsonl,func_1,testGetNewZipDestinationReturnsNonEmptyPath,1,rename,444,543,987,5702.1,True
2026-05-18T15:39:00,in/test/TestClass21387.java.jsonl,func_1,testThrowsWhenDownloadedFileCountDoesNotMatchStorageUnit,1,rename,620,817,1437,10992.1,True
2026-05-18T15:40:08,in/test/TestClass69394.java.jsonl,func_1,testBinarySerializationThroughput,1,rename,690,918,1608,14244.7,True
2026-05-18T15:41:18,in/test/TestClass35878.java.jsonl,func_1,testDisposeMarksObserverAndDisposesUpstream,1,rename,485,550,1035,10444.7,True
2026-05-18T15:42:17,in/test/TestClass75101.java.jsonl,func_1,testToStringReturnsDefaultLongValue,1,rename,431,540,971,8397.2,True
2026-05-18T15:43:17,in/test/TestClass22297.java.jsonl,func_1,testGetBusinessObjectDefinitionColumnReturnsExpectedColumn,1,rename,617,501,1118,7723.7,True
2026-05-18T15:44:30,in/test/TestClass10820.java.jsonl,func_1,testNextVersionIncrementsCounterOnClockJumpBeyondMaxForwardDrift,1,rename,596,632,1228,10601.9,True
2026-05-18T15:45:30,in/test/TestClass77515.java.jsonl,func_1,testAppendRelevantOutlineCreatesChildren,1,rename,537,488,1025,7308.4,True
2026-05-18T15:46:32,in/test/TestClass46951.java.jsonl,func_1,testReturnsFalseWhenXQueryEvaluatorReturnsFalse,1,rename,477,415,892,6951.7,True
2026-05-18T15:47:36,in/test/TestClass75947.java.jsonl,func_1,testToJsonProducesKnownJsonForThing,1,rename,466,549,1015,10635.8,True
2026-05-18T15:48:49,in/test/TestClass44152.java.jsonl,func_1,testUninstallIotLauncherAppsSucceeds,1,rename,450,480,930,14511.3,True
2026-05-18T15:49:57,in/test/TestClass74838.java.jsonl,func_1,testToJsonMatchesKnownJsonForFullMetrics,1,rename,478,351,829,6932.6,True
2026-05-18T15:51:01,in/test/TestClass25630.java.jsonl,func_1,testSaveMouseAndGazeFixationSequencesToFile,1,rename,585,446,1031,8792.6,True
2026-05-18T15:52:10,in/test/TestClass61739.java.jsonl,func_1,testShouldThrowIllegalQueryExceptionForDimensionItemTypeFilterWithMissingValue,1,rename,454,740,1194,11875.4,True
2026-05-18T15:53:15,in/test/TestClass71980.java.jsonl,func_1,testShouldAddRecordModelToRepository,1,rename,505,612,1117,10738.7,True
2026-05-18T15:54:24,in/test/TestClass67337.java.jsonl,func_1,testReadCommitMarkerThrowsEofWhenIncompleteValueAppended,1,rename,627,782,1409,11837.6,True
2026-05-18T15:56:01,in/test/TestClass5272.java.jsonl,func_1,testPrependToAddsDeferredKeyword,1,rename,461,741,1202,36766.6,True
2026-05-18T15:57:01,in/test/TestClass280.java.jsonl,func_1,testLongComparisonGreaterAndNotLess,1,rename,445,550,995,8544.0,True
2026-05-18T15:58:01,in/test/TestClass27655.java.jsonl,func_1,testReadyCohortCanCommitTrueAndPreCommitAndCommitReturnNull,1,rename,456,485,941,6741.3,True
2026-05-18T15:59:04,in/test/TestClass74087.java.jsonl,func_1,testShouldHaveNoFeaturesAfterRemoveAllFeatures,1,rename,444,351,795,6208.4,True
2026-05-18T16:00:09,in/test/TestClass9158.java.jsonl,func_1,testOnTextMessageParsesAndProcessesStanza,1,rename,502,492,994,10775.1,True
2026-05-18T16:01:18,in/test/TestClass11553.java.jsonl,func_1,testValidatePesThrowsSignatureExceptionForPerimeXml,1,rename,479,876,1355,18176.2,True
2026-05-18T16:02:28,in/test/TestClass45720.java.jsonl,func_1,testBuildConfigReturnsNoSourceFilesWhenEmptyInputParams,1,rename,496,753,1249,14318.7,True
2026-05-18T16:03:30,in/test/TestClass65931.java.jsonl,func_1,testSetPrimaryKeyConvertsValuesForJdbcTypes,1,rename,601,352,953,6466.4,True
2026-05-18T16:04:32,in/test/TestClass1493.java.jsonl,func_1,testShouldStoreOrganizationInRepository,1,rename,476,363,839,8061.2,True
2026-05-18T16:05:38,in/test/TestClass60339.java.jsonl,func_1,testShouldNotLogWhenSessionIdIsNull,1,rename,569,631,1200,12552.3,True
